title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,genres,awards
Silence,"Shūsaku Endō, ","3,366reviews","['25,786']",4.09,219,1966,"['Fiction', 'Historical', 'Historical Fiction']",Tanizaki Prize 谷崎潤一郎賞 (1966)
The Grass Is Singing,Doris Lessing,"1,060reviews","['11,354']",3.82,208,1950,"['Fiction', 'Cultural', 'Africa']",
The Brothers Lionheart,"Astrid Lindgren, ","1,054reviews","['30,537']",4.33,231,1973,"['Fantasy', 'Childrens', 'Classics']","Zilveren Griffel (1975), Wilhelm-Hauff-Preis (1979), Międzynarodowa Nagroda Literacka im. Janusza Korczaka (1979), Premio Bancarelino (1978)"
Ringworld,Larry Niven,"3,616reviews","['107,764']",3.96,288,1970,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy']","Hugo Award for Best Novel (1971), Nebula Award for Best Novel (1970), Locus Award for Best Novel (1971), Seiun Award 星雲賞 for Best Foreign Novel (1979)"
"If Not Now, When?","Primo Levi, ",176reviews,"['2,973']",4.25,331,1982,"['Fiction', 'Historical', 'Historical Fiction']","Premio Viareggio (1982), Premio Campiello (1982)"
Rubyfruit Jungle,Rita Mae Brown,"1,352reviews","['33,500']",3.92,246,1973,"['Fiction', 'LGBT', 'GLBT']",Lee Lynch Classic Book Award
The Robe,Lloyd C. Douglas,"1,238reviews","['23,516']",4.22,528,1942,"['Historical', 'Historical Fiction', 'Fiction']",
Never Cry Wolf: The Amazing True Story of Life Among Arctic Wolves,Farley Mowat,"1,136reviews","['22,386']",4.20,246,1963,"['Nonfiction', 'Animals', 'Environment']",
"Good Night, Mr. Tom",Michelle Magorian,"2,005reviews","['41,275']",4.29,320,1981,"['Historical', 'Historical Fiction', 'Fiction']","Guardian Children's Fiction Prize (1982), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (1983), IRA Children’s and Young Adult’s Book Award (1982)"
The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins (Goodreads Author),"1,059reviews","['34,331']",4.08,466,1986,"['Science', 'Nonfiction', 'Biology']","Los Angeles Times Book Prize for Current Interest (1987), W.H. Heinemann Award (1986)"
Spring Snow,"Yukio Mishima, ","1,005reviews","['13,138']",4.16,389,1968,"['Fiction', 'Cultural', 'Japan']",National Book Award Finalist for Translation (1973)
